university,group_title,campaign_year,snapshot_date,applications,seat_counts,min_enrolled_score,last_rank
msu,"Биология почв. Химия почв. Земельные ресурсы и функционирование почв. Физика, мелиорация и эрозия почв. Агрохимия и агроэкология. (paid_competition)",2026,2026-08-08 14:51:16.043314+00:00,98,"{""paid_competition"": 8}",,98
msu,"Биология почв. Химия почв. Земельные ресурсы и функционирование почв. Физика, мелиорация и эрозия почв. Агрохимия и агроэкология. (without_entry_tests)",2026,2026-08-08 14:51:16.021905+00:00,1,"{""without_entry_tests"": 54}",,1
msu,Биотехнология (by_special_quota),2026,2026-08-08 14:51:21.556331+00:00,2,"{""by_special_quota"": 2}",,2
msu,Биотехнология (by_unusual_quota),2026,2026-08-08 14:51:21.559734+00:00,1,"{""by_unusual_quota"": 3}",,1
msu,Биотехнология (by_unusual_quota),2026,2026-08-08 14:51:21.561964+00:00,2,"{""by_unusual_quota"": 3}",,2
msu,Биотехнология (general_competition),2026,2026-08-08 14:51:21.564200+00:00,20,"{""general_competition"": 20}",437.0,20
msu,Биотехнология (paid_competition),2026,2026-08-08 14:51:21.584219+00:00,158,"{""paid_competition"": 15}",,158
msu,Востоковедение и африканистика (by_special_quota),2026,2026-08-08 14:51:18.440559+00:00,5,"{""by_special_quota"": 5}",,5
msu,Востоковедение и африканистика (by_unusual_quota),2026,2026-08-08 14:51:18.445392+00:00,8,"{""by_unusual_quota"": 19}",,8
msu,Востоковедение и африканистика (by_unusual_quota),2026,2026-08-08 14:51:18.449183+00:00,11,"{""by_unusual_quota"": 19}",,11
msu,Востоковедение и африканистика (general_competition),2026,2026-08-08 14:51:18.460427+00:00,51,"{""general_competition"": 73}",359.0,51
msu,Востоковедение и африканистика (paid_competition),2026,2026-08-08 14:51:18.490088+00:00,432,"{""paid_competition"": 100}",,432
msu,Востоковедение и африканистика (without_entry_tests),2026,2026-08-08 14:51:18.453094+00:00,22,"{""without_entry_tests"": 73}",,22
msu,География (general_competition),2026,2026-08-08 14:51:22.018859+00:00,7,"{""general_competition"": 8}",225.0,7
